filename,ASM,Contrast,Correlation,Homogeneity,Dissimilarity,Entropy,MaxProbability,Variance,SumVariance,SumEntropy,DifferenceVariance,DifferenceEntropy,IMCorr1,IMCorr2
1.jpg,0.01398046309452616,2.9059960179209625,0.9760912421358878,0.595088570668193,1.1070816401681691,4.937117300355461,0.052695490210515415,60.77800568006623,240.206026702344,3.9343956127762003,1.6614151995064081,1.4135929251553154,-0.49410790485411066,0.9798205543165817
1_aug1.jpg,0.009896112883344254,5.776674134926562,0.9481563071612272,0.5133823611776147,1.5474283402681461,5.268754296358448,0.04522916740756547,55.71130148685093,217.06853181247715,3.9098948159857745,3.374165712453708,1.6508609129689633,-0.37956588234658317,0.9564870832785216
1_aug2.jpg,0.0168095101568859,1.8769167360572738,0.984665437276528,0.6471450407524006,0.8827359110301298,4.7282453059470395,0.05773600430797653,61.20199124200429,242.93104823195992,3.902340376951495,1.0805985965500609,1.2482790489820539,-0.5474976545642098,0.9853839943547189
2.jpg,0.0391991833428063,1.0470667174459432,0.9327445047712871,0.729576851625309,0.6104022068985914,3.6599441124489633,0.08096932708448906,7.783296730240121,30.086120203514536,3.051451930635562,0.6702320987131343,0.9883737896906204,-0.47454951917160854,0.9466746415749873
2_aug1.jpg,0.0460696209849592,2.035261462646138,0.8840522116947661,0.7687861308754186,0.540814894597736,3.5089340753895937,0.09827345736103124,8.952658764747401,31.684541062881536,3.025229744877585,1.7361624758615495,0.8861615851519039,-0.5268243318666777,0.9577824385420323
2_aug2.jpg,0.044356013774926754,5.128637522554687,0.9803138494598543,0.7756126516018101,0.6387303800032829,3.578826187098613,0.0838182741798638,130.4633230398059,83.64128074322633,2.893287361608798,4.7152509453875044,0.9252751568532804,-0.5609036718267291,0.9683474825074954
3.jpg,0.007032344598796575,4.48786345880687,0.9737436365076806,0.51095778860038,1.394497049135586,5.3263703270318965,0.01647199027875716,85.52175887045155,337.59917202299937,4.036308154057357,2.5179535203901935,1.518409137648321,-0.41737367652299645,0.9687581022431
3_aug1.jpg,0.005037077071302435,52.051954022641695,0.772759658515485,0.44701221511192357,3.7912413092951907,5.819260656870827,0.0164290576115552,114.53169454737089,406.07482416684184,4.231945219205873,37.67248934554681,2.0852252060446603,-0.36316644290610156,0.9611894398393365
3_aug2.jpg,0.009750641737294044,2.353876876301474,0.980445569639381,0.5816576159220749,1.0510204686784266,4.955141432457539,0.02188370327340168,60.238432913808666,238.59985477893315,3.9179996234571512,1.2291823633534316,1.303367530376609,-0.4716289625592208,0.9755443009862241
4.jpg,0.005582175016342096,6.3977688095131535,0.9640140017396017,0.4251860323254057,1.825691360895862,5.5159696191648315,0.01408682207218727,89.0288890506895,349.71778739324486,4.03541017616105,3.0318973926108477,1.73967188032661,-0.3661314954892097,0.9563292927259903
4_aug1.jpg,0.007665944887849467,4.09984903622466,0.9779482999287357,0.4925765219364949,1.4421740611498834,5.242751640003392,0.020465104685942172,93.13823363547692,368.453085505683,4.00616965734509,1.9780641719427683,1.5441173592094832,-0.4289701293200789,0.9702037470100707
4_aug2.jpg,0.007694525865332616,4.306212457962507,0.9757214238575382,0.48688502645033194,1.4758810224434384,5.23519119272215,0.023561907532436532,88.88740487416695,351.2434070387053,3.9808956985503814,2.0798756884822853,1.5624892196044062,-0.42028018599440287,0.9676806053159613
5.jpg,0.00789597612576376,3.5971249322357597,0.9804912149907807,0.5669968317585697,1.17102714098694,5.258280653308714,0.02842849049242687,92.20143381835088,365.20861034116774,4.170730665134117,2.1967733656407473,1.4066553476961698,-0.4943146524490763,0.9835202110262546
5_aug1.jpg,0.007709383341701227,3.647732461632272,0.980648729796082,0.5635394742051509,1.1828059309645835,5.28060909724718,0.028942408695178456,94.26048893094254,373.39422326213787,4.184488503928053,2.2190438939234465,1.412439594509038,-0.49367989746059904,0.9836655302246556
5_aug2.jpg,0.00838525582260133,5.673507777249274,0.9723597741632113,0.6064816221839544,1.1227314519660092,5.188196615789678,0.039460708771775065,102.75091204005273,317.68520638731076,4.053219305303623,4.377042995619281,1.3452109073908791,-0.5307420186006957,0.9876892940180172
6.jpg,0.012102667035846004,3.1474468269651825,0.9792115270405831,0.562069346330278,1.174382204170082,4.978917581105488,0.032778378788048915,75.66946947333916,299.53043106639143,3.872761618487993,1.7569335413452003,1.4068188098495937,-0.4410654713501588,0.9692899302634607
6_aug1.jpg,0.0077284298745530985,9.039287220843672,0.9520499744993722,0.46096544017221686,1.8871680523898813,5.50603280401578,0.021039564690163146,94.24396508651927,367.9365731252334,3.959050038112405,5.4712500047058,1.7909647386852334,-0.33300375529681114,0.9427306652595668
6_aug2.jpg,0.015446066814217113,2.135580014056784,0.9852474045176431,0.629194980249933,0.93056417185112,4.747934762003045,0.044787375812236005,72.33950797375769,287.22245188097395,3.8615922493708856,1.2504288151771363,1.2457295260429286,-0.5074927100317008,0.9793969650625134
7.jpg,0.008333763194094797,3.158769346269346,0.9855932180918084,0.5460765715598896,1.2268825754585249,5.252213003230892,0.027687849839748577,109.80673329614243,436.0681638383004,4.109035878262533,1.6194602238127156,1.4362699103587988,-0.4722471904848561,0.9797277280563206
7_aug1.jpg,0.010161233592950972,1.8834665577975298,0.9921166961314017,0.6092599186901145,0.9533728804469709,5.036365739383919,0.034523138955465445,119.6360732197532,476.6608263212152,4.130548996639964,0.9547592990784459,1.248961079862931,-0.5433605934489797,0.9879293641600025
7_aug2.jpg,0.007670853901542332,3.2853398853398854,0.985491891489381,0.5350986371484479,1.2653716166374394,5.311280220119609,0.027165261658932547,113.39842248804555,450.3083500668423,4.136099773534172,1.6492860346565716,1.4559405174946913,-0.46689612328286284,0.9795039193557694
8.jpg,0.012171894975281053,2.3818945228925967,0.9587755295568059,0.5573996391571829,1.116296839660126,4.726531997189241,0.036739046549300075,28.99818093871816,113.61082923198003,3.652375749466309,1.1042210069058107,1.3309228893968723,-0.41783906051469627,0.9561132900854185
8_aug1.jpg,0.014030583969300944,1.652914991660055,0.9733609014421354,0.6026922908224046,0.9330279908932827,4.577337009270209,0.0426153446118343,31.136110378432804,122.89152652207117,3.67296967634249,0.7585538807121173,1.1842622190756267,-0.4757065912113393,0.9695680063326753
8_aug2.jpg,0.009196034938656734,15.479006586588422,0.7742108313994063,0.47815689824601354,2.068972927746195,5.087598130761377,0.02694393185708173,34.29994888223571,121.72078894235442,3.697809629712355,11.182053391232408,1.6984969319347978,-0.34646465206534216,0.9376719977414187
9.jpg,0.008527534966238225,3.519684152872444,0.9631202102882407,0.5307597232196772,1.2888419694642177,5.135134099628704,0.026058058960852025,47.73366633529869,187.41498118832232,3.903637979333184,1.8439697454453854,1.46847963741354,-0.41199005978734765,0.9640263424223388
9_aug1.jpg,0.010336573226361008,2.1266889578174517,0.9768561693889133,0.5914195009229788,1.011380749017299,4.899308860515411,0.02769792550520355,45.98096314534263,181.79716362355308,3.8897310560926837,1.0870912288714842,1.2778646695653317,-0.4757787039114546,0.9756390025333931
9_aug2.jpg,0.009523286505320243,3.2889372047875076,0.9595821557143708,0.5404330743673097,1.2445682791341846,5.025794591408729,0.02837264207998936,40.698754109790094,159.5060792343729,3.825397850872204,1.7265831283482476,1.4427877479867701,-0.407601352341815,0.960526484903185
10.jpg,0.024255849776104305,0.8687801554487176,0.9861209041507525,0.7373488040437252,0.5776550633200421,4.20812486230125,0.051795689249804815,31.297400168651002,124.32082051915529,3.6465055802360604,0.5281971332330977,0.9480414886321391,-0.588205747411737,0.9845550811957834
10_aug1.jpg,0.0264265808146412,3.630147493405303,0.9645633382272891,0.7692045155975153,0.5766598538676627,4.141256165578193,0.054136139324062534,51.60030077996552,129.63681127802994,3.6182866075434834,3.282390034391865,0.8911808178710152,-0.6285275227540369,0.9884030615809847
10_aug2.jpg,0.021237836802357003,4.806792796626063,0.9744233592343465,0.7190947843915151,0.749457320589642,4.372632238567566,0.045027446057332554,94.1657370410848,149.45959059033734,3.6008095226329564,4.235638712820377,1.051227214554752,-0.5714842163297441,0.9845504383310729
11.jpg,0.022362331344512563,2.8617155797418956,0.9660057555413822,0.575986142820454,1.1380503268661164,4.649618582834296,0.09199611791717055,42.08744735756997,165.488073850538,3.624760729448872,1.5550594670281066,1.4060505149831015,-0.43014909841226884,0.9596125784283153
11_aug1.jpg,0.029753094349504346,1.7472439993077211,0.9790815687873728,0.6561975272580555,0.8509835894457249,4.346125543310313,0.10739673463120225,41.7534206370597,165.26643854893106,3.5772910632062076,1.0104161206382836,1.2214579776758734,-0.5157084530831213,0.9748601478387922
11_aug2.jpg,0.028121231193199647,1.8783512534326245,0.9774010190903397,0.6375555232884067,0.901926714213764,4.434878043481067,0.11498220731253972,41.550345040616925,164.3230289090351,3.6059367952344186,1.0504303460880988,1.2515392207578797,-0.494853279164047,0.9719789044575129
12.jpg,0.01259323172944164,2.8384067524349654,0.9870077411004712,0.6374366537281078,0.9769624462022581,4.934675045439347,0.048558225331344455,109.29290520739228,434.3332140771342,4.028556986866148,1.8611625828329,1.2902458526079126,-0.5279366078347242,0.9849067032575786
12_aug1.jpg,0.014538931263472069,2.1970078275743115,0.9889326322717399,0.6629851484690495,0.8725311704128546,4.782081343558836,0.04677230258856965,99.31263408922959,395.0535285293441,3.957729647032978,1.4159652705172006,1.2241795887484574,-0.5450128488525043,0.98555458658474
12_aug2.jpg,0.014546880493220171,2.373221043235731,0.9882284022805393,0.6592614791231227,0.8960061080140364,4.785344919191996,0.048181810818081885,100.83550199693917,400.968786944521,3.950807048846486,1.54277315633677,1.2383058598916126,-0.5410189287232712,0.9849092253995245
13.jpg,0.011359191800920019,4.000955374020981,0.9211843473837793,0.5154799982955864,1.3563388403943215,4.908853259064604,0.030331286404218595,25.380836999010835,97.52239262202235,3.634190605308821,2.150607768394887,1.5085431853700577,-0.3431821501090098,0.9315767980703449
13_aug1.jpg,0.02455624301862013,8.602155535469688,0.9794193955335277,0.6139791299777952,1.1896386197911524,4.595736584078607,0.12123236941676836,209.21591761867873,195.300455704932,3.3300940598270494,7.169115067819539,1.380296140426256,-0.4624613538178204,0.9674189827879985
13_aug2.jpg,0.013089443455884024,8.7495795489451,0.954732648943725,0.5849427144738262,1.2480592831984723,4.803047571452411,0.03792628270933701,97.02354020808005,132.1173393106978,3.6089157621311276,7.161040664905857,1.3965865441573673,-0.4371091017576068,0.9645705354212507
14.jpg,0.0069571130346333995,3.086863794243312,0.9751125071525379,0.5027241552452358,1.3112484511580895,5.303213055820382,0.018593239225769345,62.027933829859194,245.02487152519348,4.0721439876189205,1.343269027195479,1.4371547367830018,-0.43807775542543886,0.9735614015181082
14_aug1.jpg,0.008980998597376397,2.1483573225346664,0.981625058560059,0.5637879612870983,1.072277331428467,5.063314386987156,0.02586946558262808,58.47104055409699,231.73580489385324,4.020559343060368,0.9679815590117702,1.287365689870463,-0.4842323475137601,0.9793239531074566
14_aug2.jpg,0.006426441834619103,54.944408340833945,0.6228354628358479,0.4561249815860014,3.682336349042251,5.551374938175167,0.017847317486051065,72.8381529459216,236.40820344285245,4.08831567193971,41.375334830312305,1.9476724408809405,-0.3951188386735813,0.9666486372745356
